date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:12	205/205	---MC-	200	added ('OK')	text/plain	date:Sat,%2011%20May%202024%2009:45:13%20GMT	https://ignitedmindsit.com/robots.txt		(from )
15:15:13	325029/325029	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20May%202024%2009:45:13%20GMT	https://ignitedmindsit.com/	E:/INTERNSHIP/PARCTICE/dFGW/ignitedmindsit/ignitedmindsit.com/index.html	(from )
15:15:14	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2011%20May%202024%2009:45:14%20GMT	https://ignitedmindsit.com/xmlrpc.php	E:/INTERNSHIP/PARCTICE/dFGW/ignitedmindsit/ignitedmindsit.com/xmlrpc.php	(from https://ignitedmindsit.com/)
15:15:14	80574/80574	---M--	200	added ('OK')	text/css	etag:%2231c1c67-13abe-5cae72efad580%22	https://ignitedmindsit.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.9	E:/INTERNSHIP/PARCTICE/dFGW/ignitedmindsit/ignitedmindsit.com/wp-includes/css/dist/block-library/style.min29ad.css	(from https://ignitedmindsit.com/)
15:15:14	1440/1440	---M--	200	added ('OK')	text/css	etag:%223782743-5a0-5c35ec6c9a840%22	https://ignitedmindsit.com/wp-content/plugins/preloader-plus/assets/css/preloader-plus.min.css?ver=2.2.1	E:/INTERNSHIP/PARCTICE/dFGW/ignitedmindsit/ignitedmindsit.com/wp-content/plugins/preloader-plus/assets/css/preloader-plus.min77e6.css	(from https://ignitedmindsit.com/)
15:15:14	3097/3097	---M--	200	added ('OK')	text/css	etag:%2237a063c-c19-5f4a8477ba646%22	https://ignitedmindsit.com/wp-content/uploads/essential-addons-elementor/cb70d11b8.min.css?ver=1715420713	E:/INTERNSHIP/PARCTICE/dFGW/ignitedmindsit/ignitedmindsit.com/wp-content/uploads/essential-addons-elementor/cb70d11b8.mina789.css	(from https://ignitedmindsit.com/)
15:15:14	776/776	---M--	200	added ('OK')	text/css	etag:%223782250-308-5d5ae5551c000%22	https://ignitedmindsit.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.7	E:/INTERNSHIP/PARCTICE/dFGW/ignitedmindsit/ignitedmindsit.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor694e.css	(from https://ignitedmindsit.com/)
15:15:15	18900/18900	---M--	200	added ('OK')	text/css	etag:%223781de1-49d4-5d5ae550574c0%22	https://ignitedmindsit.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.13.0	E:/INTERNSHIP/PARCTICE/dFGW/ignitedmindsit/ignitedmindsit.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min05c8.css	(from https://ignitedmindsit.com/)
15:15:15	1026/1026	---MC-	200	added ('OK')	application/rss+xml	etag:%2247f1506c9c5e09c77fc45ee4f759bf19%22	https://ignitedmindsit.com/feed/	E:/INTERNSHIP/PARCTICE/dFGW/ignitedmindsit/ignitedmindsit.com/feed/index.html	(from https://ignitedmindsit.com/)
15:15:15	709/709	---MC-	200	added ('OK')	application/rss+xml	etag:%22297097670e093d90372c0264b0f4aaf5%22	https://ignitedmindsit.com/comments/feed/	E:/INTERNSHIP/PARCTICE/dFGW/ignitedmindsit/ignitedmindsit.com/comments/feed/index.html	(from https://ignitedmindsit.com/)
